elo_diff,sp_era_diff,dynamic_park_factor,timezone_diff,is_day_game,back2back_diff,dynamic_pythag_diff,lag30_winrate_diff,k_pct_diff,bb_pct_diff,pitcher_rating_diff,winrate_diff,bt_strength_diff,timestamp,pipeline_version,model_type
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T07:42:29.571339,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T08:21:06.593374,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356339,0.06025728916266244,0.21415877592447677,0.019140507058797884,0.0019764299131407558,0.17885500556666598,0.01295598969462593,0.012955989694625948,0.01295598969462593,0.012955989694625948,0.2626428551747241,0.13449818198754437,0.2677016177416757,2026-06-01T08:28:09.969217,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T08:43:10.039146,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T08:51:22.242814,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T08:59:40.882236,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T09:27:24.247506,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T09:29:38.596429,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356339,0.06025728916266244,0.21415877592447677,0.019140507058797884,0.0019764299131407558,0.17885500556666598,0.01295598969462593,0.012955989694625948,0.01295598969462593,0.012955989694625948,0.2626428551747241,0.13449818198754437,0.2677016177416757,2026-06-01T10:19:03.875645,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356339,0.06025728916266244,0.21415877592447677,0.019140507058797884,0.0019764299131407558,0.17885500556666598,0.01295598969462593,0.012955989694625948,0.01295598969462593,0.012955989694625948,0.2626428551747241,0.13449818198754437,0.2677016177416757,2026-06-01T10:44:32.834956,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T13:25:18.405591,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T15:56:24.651338,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T20:18:04.071046,baseline_v2_clean,calibrated_logistic_regression
0.3016075628356337,0.06025728916266239,0.2141587759244767,0.019140507058797922,0.0019764299131408308,0.17885500556666598,0.012955989694625865,0.012955989694625912,0.012955989694625865,0.012955989694625912,0.2626428551747241,0.13449818198754424,0.2677016177416758,2026-06-01T21:56:44.706983,baseline_v2_clean,calibrated_logistic_regression
